Date,Number of crimes,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG
3/1/2020,1260,0,1,0,0
3/2/2020,1244,0,2,0,0
3/3/2020,1295,1,7,0,0
3/4/2020,1300,5,2,0,0
3/5/2020,1260,3,14,0,0
3/6/2020,1197,8,8,0,3
3/7/2020,1183,7,8,0,3
3/8/2020,1142,21,18,0,6
3/9/2020,1204,57,37,0,15
3/10/2020,1320,69,58,0,24
3/11/2020,1299,155,79,1,46
3/12/2020,1189,355,107,0,96
3/13/2020,1366,619,152,0,183
3/14/2020,1193,642,176,2,274
3/15/2020,1124,1035,210,4,419
3/16/2020,993,2121,340,8,714
3/17/2020,970,2452,387,8,1054
3/18/2020,1079,2971,494,20,1456
3/19/2020,923,3706,634,24,1935
3/20/2020,1068,4006,740,47,2419
3/21/2020,974,2639,741,44,2704
3/22/2020,737,2580,774,49,2925
3/23/2020,759,3570,1144,82,3132
3/24/2020,813,4498,1306,95,3424
3/25/2020,837,4875,1422,124,3696
3/26/2020,795,5044,1534,186,3887
3/27/2020,897,5119,1571,218,4046
3/28/2020,791,3479,1383,273,4166
3/29/2020,633,3560,1502,290,4306
3/30/2020,813,6129,1849,324,4672
3/31/2020,762,5458,1785,386,4809
4/1/2020,924,5449,1729,447,4891
4/2/2020,782,5747,1663,497,4992
4/3/2020,752,5669,1708,499,5070
4/4/2020,726,3864,1447,510,5125
4/5/2020,691,3780,1402,577,5157
4/6/2020,748,6353,1742,576,5189
4/7/2020,764,6044,1574,598,5272
4/8/2020,856,5576,1539,568,5290
4/9/2020,772,5070,1343,558,5194
4/10/2020,771,4510,1287,537,5028
4/11/2020,759,3733,1039,544,5009
4/12/2020,802,2888,950,573,4882
4/13/2020,777,3311,1144,568,4447
4/14/2020,861,4144,978,507,4176
4/15/2020,865,3876,858,455,3933
4/16/2020,756,3530,777,413,3713
4/17/2020,837,3586,788,384,3581
4/18/2020,812,2172,585,390,3358
4/19/2020,842,2344,533,399,3280
4/20/2020,928,3792,630,363,3349
4/21/2020,882,3063,585,323,3195
4/22/2020,907,3447,512,311,3133
4/23/2020,869,2841,443,330,3035
4/24/2020,803,2535,462,314,2885
4/25/2020,962,1595,324,265,2802
4/26/2020,739,1003,312,245,2611
4/27/2020,855,2290,370,270,2396
4/28/2020,961,2726,350,229,2348
4/29/2020,915,2340,309,237,2190
4/30/2020,848,2022,253,224,2073
5/1/2020,1113,1887,263,210,1980
5/2/2020,1040,1058,207,190,1904
5/3/2020,938,787,215,177,1873
5/4/2020,983,1549,238,158,1767
5/5/2020,980,1512,212,151,1594
5/6/2020,947,1398,213,151,1459
5/7/2020,964,1239,177,142,1347
5/8/2020,984,1080,170,131,1232
5/9/2020,859,657,122,99,1175
5/10/2020,924,457,104,103,1127
5/11/2020,940,1232,181,104,1082
5/12/2020,997,1285,112,90,1050
5/13/2020,984,1333,128,83,1040
5/14/2020,1030,1110,142,70,1022
5/15/2020,1106,873,126,86,992
5/16/2020,1046,485,91,84,968
5/17/2020,923,360,81,77,954
5/18/2020,1026,895,114,59,906
5/19/2020,1058,1004,116,55,866
5/20/2020,1084,1077,79,79,829
5/21/2020,1130,1069,84,45,823
5/22/2020,1162,1036,101,66,847
5/23/2020,949,455,75,60,842
5/24/2020,912,467,87,48,858
5/25/2020,990,464,78,47,796
5/26/2020,1121,1050,75,38,803
5/27/2020,1144,741,76,48,755
5/28/2020,1138,646,80,38,694
5/29/2020,1184,639,86,43,637
5/30/2020,1135,346,54,52,622
5/31/2020,1185,230,60,39,588
6/1/2020,1857,686,83,35,620
6/2/2020,1392,571,63,37,551
6/3/2020,925,515,75,43,519
6/4/2020,971,519,75,33,501
6/5/2020,918,402,55,28,467
6/6/2020,926,247,37,34,453
6/7/2020,918,197,54,25,448
6/8/2020,1030,447,62,40,414
6/9/2020,973,419,65,31,392
6/10/2020,1043,363,63,32,371
6/11/2020,981,363,50,21,348
6/12/2020,1091,409,53,23,349
6/13/2020,1049,196,34,15,342
6/14/2020,941,180,46,23,340
6/15/2020,1128,380,53,20,330
6/16/2020,957,419,61,16,330
6/17/2020,1075,356,50,20,329
6/18/2020,1026,378,58,17,331
6/19/2020,1001,361,45,15,324
6/20/2020,1089,203,27,17,325
6/21/2020,1048,172,43,23,324
6/22/2020,1124,402,50,17,327
6/23/2020,1125,381,44,19,322
6/24/2020,1186,381,53,18,325
6/25/2020,1135,298,42,15,314
6/26/2020,1218,317,33,17,308
6/27/2020,1116,206,42,12,308
6/28/2020,1035,201,32,11,312
6/29/2020,1064,437,49,16,317
6/30/2020,1108,441,45,11,326
7/1/2020,1189,395,38,9,328
7/2/2020,1146,416,46,17,345
7/3/2020,1107,234,30,11,333
7/4/2020,1065,120,30,5,321
7/5/2020,1243,155,28,8,314
7/6/2020,1131,431,54,6,313
7/7/2020,1103,461,47,6,316
7/8/2020,1133,437,34,14,322
7/9/2020,1145,391,46,6,318
7/10/2020,1091,306,44,5,329
7/11/2020,1035,259,33,8,349
7/12/2020,1199,223,26,4,358
7/13/2020,1167,483,49,14,366
7/14/2020,1174,402,43,10,357
7/15/2020,1257,440,44,12,358
7/16/2020,1135,411,35,6,361
7/17/2020,1195,413,49,11,376
7/18/2020,1121,216,27,9,370
7/19/2020,1054,176,38,7,363
7/20/2020,1105,401,38,8,351
7/21/2020,1104,340,24,6,342
7/22/2020,1129,329,40,6,327
7/23/2020,1118,308,32,8,312
7/24/2020,1109,298,40,5,295
7/25/2020,1110,153,35,11,286
7/26/2020,1129,140,25,7,281
7/27/2020,1209,312,39,3,269
7/28/2020,1218,313,37,12,265
7/29/2020,1172,287,30,5,259
7/30/2020,1102,274,37,4,254
7/31/2020,1121,262,34,3,249
8/1/2020,1388,189,27,6,254
8/2/2020,1200,135,33,2,253
8/3/2020,1213,348,38,2,258
8/4/2020,1023,187,32,4,240
8/5/2020,1185,298,39,6,242
8/6/2020,1161,288,34,5,244
8/7/2020,1183,255,23,2,243
8/8/2020,1093,160,20,4,239
8/9/2020,1181,133,27,3,238
8/10/2020,1238,312,41,5,233
8/11/2020,1188,263,25,4,244
8/12/2020,1210,320,31,1,247
8/13/2020,1213,276,38,3,246
8/14/2020,1365,277,38,3,249
8/15/2020,1186,151,23,4,247
8/16/2020,1114,140,21,5,248
8/17/2020,1230,333,34,5,251
8/18/2020,1178,283,39,1,254
8/19/2020,1191,257,35,1,245
8/20/2020,1253,227,36,7,238
8/21/2020,1322,252,31,3,235
8/22/2020,1224,136,27,6,233
8/23/2020,1162,150,21,3,234
8/24/2020,1240,297,36,8,229
8/25/2020,1225,283,42,4,229
8/26/2020,1230,313,27,6,237
8/27/2020,1141,274,30,1,244
8/28/2020,1199,280,22,5,248
8/29/2020,1205,128,22,2,246
8/30/2020,1126,186,20,4,252
8/31/2020,1130,315,42,1,254
9/1/2020,1278,294,20,3,256
9/2/2020,1255,271,27,4,250
9/3/2020,1165,273,18,5,250
9/4/2020,1230,230,32,5,242
9/5/2020,1196,156,22,3,246
9/6/2020,1158,207,31,7,249
9/7/2020,1224,218,20,1,236
9/8/2020,1323,393,27,2,250
9/9/2020,1214,353,32,2,261
9/10/2020,1244,323,25,3,269
9/11/2020,1267,313,32,4,280
9/12/2020,1203,202,11,4,287
9/13/2020,1148,263,17,3,295
9/14/2020,1208,462,32,5,330
9/15/2020,1187,415,30,3,333
9/16/2020,1133,457,46,6,348
9/17/2020,1295,441,34,4,365
9/18/2020,1253,292,35,3,362
9/19/2020,1056,216,21,5,364
9/20/2020,1078,221,21,5,358
9/21/2020,1058,559,28,3,372
9/22/2020,1063,499,33,3,384
9/23/2020,1107,613,38,4,406
9/24/2020,1158,543,42,3,420
9/25/2020,1229,462,46,4,445
9/26/2020,1221,280,27,5,454
9/27/2020,1171,382,35,2,477
9/28/2020,1188,436,38,3,459
9/29/2020,1147,723,50,7,491
9/30/2020,1194,605,51,8,490
10/1/2020,1330,705,41,5,513
10/2/2020,1243,603,49,3,533
10/3/2020,1203,301,24,5,536
10/4/2020,1055,335,44,7,530
10/5/2020,1200,765,56,0,577
10/6/2020,1237,571,47,3,555
10/7/2020,1235,542,45,4,546
10/8/2020,1194,526,46,6,520
10/9/2020,1178,524,54,2,509
10/10/2020,1250,315,37,4,511
10/11/2020,1180,281,47,7,503
10/12/2020,997,515,51,8,468
10/13/2020,1172,589,50,5,470
10/14/2020,1216,583,58,6,476
10/15/2020,1288,604,74,8,487
10/16/2020,1062,503,49,7,484
10/17/2020,1138,366,34,5,492
10/18/2020,1148,412,40,4,510
10/19/2020,1208,626,68,7,526
10/20/2020,1321,601,71,5,528
10/21/2020,1282,653,52,5,538
10/22/2020,1232,759,53,3,560
10/23/2020,1360,601,59,4,574
10/24/2020,1226,386,46,1,577
10/25/2020,1011,361,44,9,570
10/26/2020,1120,695,55,4,579
10/27/2020,1262,741,46,8,599
10/28/2020,1210,783,44,4,618
10/29/2020,934,621,59,4,598
10/30/2020,1114,653,58,10,606
10/31/2020,1160,403,47,4,608
11/1/2020,1198,501,53,12,628
11/2/2020,1068,953,62,10,665
11/3/2020,1045,903,75,12,688
11/4/2020,1204,1112,66,9,735
11/5/2020,1186,1139,82,9,809
11/6/2020,1273,1036,63,10,864
11/7/2020,1270,845,58,13,927
11/8/2020,1154,788,63,8,968
11/9/2020,1186,1545,78,5,1053
11/10/2020,1164,1598,87,8,1152
11/11/2020,1147,1538,97,9,1213
11/12/2020,1102,1501,79,16,1264
11/13/2020,1158,1494,90,6,1330
11/14/2020,1102,1026,98,9,1356
11/15/2020,1031,896,88,14,1371
11/16/2020,1130,1832,122,9,1412
11/17/2020,1094,1729,101,10,1431
11/18/2020,1059,1753,118,10,1462
11/19/2020,1095,1857,131,9,1512
11/20/2020,1206,1773,131,7,1552
11/21/2020,1169,1291,120,11,1590
11/22/2020,1083,1148,114,10,1626
11/23/2020,1096,2315,147,14,1695
11/24/2020,1092,2072,129,16,1744
11/25/2020,1184,2369,139,13,1832
11/26/2020,878,807,153,7,1682
11/27/2020,1206,2296,157,15,1757
11/28/2020,1156,1786,124,14,1828
11/29/2020,1108,1728,164,15,1910
11/30/2020,1111,2802,188,18,1980
12/1/2020,1167,3137,203,20,2132
12/2/2020,1102,3007,169,27,2223
12/3/2020,1143,2876,207,18,2519
12/4/2020,1160,2809,180,26,2592
12/5/2020,1078,1884,176,23,2606
12/6/2020,990,1754,176,21,2610
12/7/2020,1051,3302,222,19,2681
12/8/2020,1063,3060,221,22,2670
12/9/2020,1037,3107,274,27,2685
12/10/2020,1113,3149,240,25,2724
12/11/2020,1213,2978,247,30,2748
12/12/2020,1112,2206,207,34,2794
12/13/2020,1075,2176,225,26,2854
12/14/2020,948,3577,259,30,2893
12/15/2020,1007,3679,233,32,2982
12/16/2020,896,2783,212,39,2935
12/17/2020,739,1924,227,35,2760
12/18/2020,973,3428,273,39,2825
12/19/2020,1010,2555,236,31,2875
12/20/2020,953,2348,239,29,2899
12/21/2020,918,4335,327,41,3007
12/22/2020,1027,4097,283,53,3067
12/23/2020,1033,3844,300,39,3219
12/24/2020,946,3014,273,39,3374
12/25/2020,798,1046,265,39,3034
12/26/2020,915,3454,267,37,3163
12/27/2020,823,2886,244,44,3239
12/28/2020,931,5387,348,43,3390
12/29/2020,888,5204,318,50,3548
12/30/2020,875,4984,313,40,3711
12/31/2020,648,3389,281,41,3764
