Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,DANGEROUS WEAPONS,PETIT LARCENY,ROBBERY,HARRASSMENT 2,OFFENSES AGAINST PUBLIC ADMINI,ASSAULT 3 & RELATED OFFENSES,FELONY ASSAULT,SEX CRIMES,GRAND LARCENY,CRIMINAL MISCHIEF & RELATED OF,OFFENSES INVOLVING FRAUD,BURGLARY,OFFENSES AGAINST THE PERSON,GRAND LARCENY OF MOTOR VEHICLE,INTOXICATED & IMPAIRED DRIVING,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEF,RAPE,THEFT-FRAUD,OFF. AGNST PUB ORD SENSBLTY &,DANGEROUS DRUGS,VEHICLE AND TRAFFIC LAWS,FORGERY,UNAUTHORIZED USE OF A VEHICLE,CRIMINAL TRESPASS,PETIT LARCENY OF MOTOR VEHICLE,POSSESSION OF STOLEN PROPERTY,FRAUDS,OTHER STATE LAWS (NON PENAL LA,ARSON,BURGLAR'S TOOLS,KIDNAPPING & RELATED OFFENSES,NYS LAWS-UNCLASSIFIED FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,ADMINISTRATIVE CODE,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,GAMBLING,FRAUDULENT ACCOSTING,NYS LAWS-UNCLASSIFIED VIOLATION,OFFENSES AGAINST PUBLIC SAFETY,CHILD ABANDONMENT/NON SUPPORT,ENDAN WELFARE INCOMP,FELONY SEX CRIMES,PROSTITUTION & RELATED OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,DISORDERLY CONDUCT,ANTICIPATORY OFFENSES,JOSTLING,HOMICIDE-NEGLIGENT-VEHICLE,"LOITERING/GAMBLING (CARDS, DIC",ESCAPE 3,KIDNAPPING,OFFENSES RELATED TO CHILDREN,OTHER STATE LAWS,DISRUPTION OF A RELIGIOUS SERV,OTHER STATE LAWS (NON PENAL LAW),INTOXICATED/IMPAIRED DRIVING,OFFENSES AGAINST MARRIAGE UNCL,NEW YORK CITY HEALTH CODE
03/26/2021,3418,1,11,197,26,180,14,129,61,16,97,124,7,38,1,23,9,42,1,3,12,42,31,21,14,2,7,1,3,12,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/27/2021,2223,4,9,184,30,165,16,154,69,16,81,123,1,32,2,28,3,24,1,4,6,45,16,29,5,3,7,0,3,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/28/2021,1751,0,5,169,31,162,9,109,56,16,76,123,1,20,1,18,12,29,4,4,4,52,5,17,1,4,5,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/29/2021,3557,1,10,210,36,194,10,116,39,19,89,96,5,27,1,23,10,39,2,6,17,51,11,14,9,2,7,0,1,13,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/30/2021,3187,1,16,233,33,178,7,96,58,14,103,118,3,29,5,29,2,39,4,5,11,53,21,24,7,4,6,0,8,12,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03/31/2021,3185,0,8,193,18,176,17,120,47,10,107,118,1,33,3,27,5,30,2,2,15,44,11,15,8,1,4,0,5,11,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2021,2866,1,16,212,22,185,19,97,41,32,91,179,3,36,1,19,5,34,1,7,27,58,40,22,9,3,8,0,5,18,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/02/2021,2619,1,8,225,21,215,10,104,59,9,90,111,4,28,1,18,4,35,1,4,19,39,27,20,7,4,3,1,2,11,1,2,0,1,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2021,2050,1,7,161,23,190,14,116,65,19,76,95,3,26,2,24,5,18,3,5,6,38,12,26,14,1,3,0,3,2,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2021,1467,1,3,165,37,168,16,142,69,16,54,98,0,20,4,23,9,35,1,1,8,27,3,13,9,3,4,0,0,9,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2021,3269,4,9,200,35,197,8,104,77,13,91,105,2,33,1,26,1,37,3,2,16,48,16,22,6,3,3,0,3,24,3,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/06/2021,3003,1,12,199,25,191,16,114,65,23,73,100,8,34,0,26,3,38,1,4,13,47,10,19,16,2,5,0,4,13,0,5,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/07/2021,2764,1,11,176,30,209,25,117,50,12,70,141,12,28,8,29,6,34,1,2,16,34,26,28,16,6,6,1,6,14,1,2,3,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/08/2021,2571,0,14,209,15,227,19,96,53,14,94,110,7,25,1,24,4,34,0,2,15,51,31,22,8,4,7,1,1,9,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/2021,2469,0,11,187,28,203,10,119,55,11,82,124,3,33,1,31,11,38,2,3,18,34,18,23,18,5,3,0,3,12,1,2,1,0,2,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/10/2021,1723,1,4,170,27,173,16,158,59,22,74,285,7,39,5,27,13,47,1,2,9,50,11,29,10,3,5,1,1,8,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/11/2021,1315,1,12,183,32,165,14,124,49,20,68,87,3,27,1,32,15,37,2,2,9,50,9,14,1,2,7,0,2,7,1,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/12/2021,2533,1,6,178,25,176,10,104,47,14,100,99,1,31,3,22,5,37,0,1,17,42,4,19,5,6,7,0,2,15,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/13/2021,2362,0,17,209,29,203,11,120,55,10,86,127,4,22,4,30,1,49,1,1,13,45,14,16,9,4,5,0,3,17,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/14/2021,2241,3,13,225,27,202,22,93,53,11,100,111,6,22,8,11,6,42,1,0,18,38,25,14,11,6,4,0,3,13,1,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/15/2021,2015,1,12,201,30,187,16,94,42,14,93,138,5,28,1,20,4,23,0,5,22,58,15,16,14,5,5,1,2,18,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/16/2021,1837,0,4,225,27,182,15,120,55,14,88,133,6,41,2,19,10,23,0,2,14,52,7,15,6,3,4,0,5,11,0,2,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/17/2021,1275,0,9,193,35,183,13,121,76,13,91,119,1,19,2,29,12,41,3,7,5,36,10,20,11,4,6,0,1,13,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/18/2021,1056,1,10,168,21,166,14,132,48,16,72,127,4,23,1,24,5,31,2,0,3,42,3,20,7,3,1,2,4,9,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/19/2021,1881,0,9,208,45,213,12,128,62,23,102,86,2,20,0,28,7,33,0,2,17,36,8,21,5,3,1,1,2,17,1,4,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/20/2021,1604,1,13,198,35,229,18,100,36,17,99,125,0,19,4,22,2,52,4,2,9,45,6,26,5,1,1,0,4,13,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/21/2021,1416,3,12,223,24,183,17,100,52,17,85,89,8,34,1,20,4,34,1,3,12,51,11,16,7,4,6,0,4,11,0,0,2,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04/22/2021,1361,2,11,204,30,170,20,101,42,11,96,119,2,26,2,25,3,28,1,4,15,51,11,14,15,6,2,0,3,9,3,0,0,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/23/2021,1289,4,11,223,30,184,13,119,47,9,76,129,5,46,3,26,6,24,0,1,24,44,8,23,6,2,5,1,1,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/24/2021,852,2,9,208,43,185,15,133,65,19,85,120,1,31,7,30,9,51,2,1,7,45,9,30,6,3,6,0,1,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
04/25/2021,757,1,6,175,25,154,13,153,65,14,70,105,2,31,4,21,5,52,2,4,6,51,2,26,6,3,8,0,1,3,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/26/2021,1368,3,5,221,41,203,12,127,62,10,114,87,1,27,3,25,3,44,0,1,29,53,3,39,6,3,4,0,2,13,0,5,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/27/2021,1138,3,14,204,34,205,8,113,54,15,94,124,3,25,3,34,5,32,0,2,15,45,21,26,5,1,10,3,2,19,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
04/28/2021,1215,3,13,205,36,179,13,104,59,17,86,140,3,29,4,24,8,30,1,3,12,46,22,14,7,2,7,1,4,11,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
04/29/2021,1055,2,14,207,28,189,14,132,67,17,104,96,4,26,0,25,5,44,0,3,15,45,10,18,10,2,10,1,3,10,2,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/30/2021,963,1,4,196,38,211,14,114,64,16,101,117,7,34,1,30,6,37,1,1,18,47,10,28,9,4,5,0,2,10,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2021,577,0,8,199,32,236,11,154,81,26,97,154,8,28,4,30,8,40,4,9,17,48,8,27,6,4,3,1,2,17,1,2,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/02/2021,569,1,5,208,38,207,11,144,69,12,69,115,0,30,4,34,9,41,1,2,3,35,7,35,1,4,2,2,2,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
05/03/2021,935,0,9,223,25,209,15,134,55,14,91,110,2,32,2,27,4,42,2,2,14,51,1,19,7,0,3,1,4,7,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2021,877,0,6,209,31,202,20,119,40,8,96,103,5,28,2,24,3,40,2,1,19,49,10,26,11,6,8,0,1,3,0,2,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2021,779,1,12,201,22,188,15,100,56,12,95,114,5,35,1,28,3,34,1,1,11,56,22,17,19,3,3,0,6,12,0,1,1,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2021,784,4,15,206,31,213,11,141,54,18,103,123,7,30,2,17,3,40,3,2,8,50,27,27,17,6,6,0,5,17,0,2,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2021,715,0,11,240,47,210,12,121,64,16,79,110,14,29,1,35,5,39,2,4,9,48,21,20,15,7,5,0,2,10,3,1,3,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/08/2021,383,3,13,206,42,183,12,130,72,14,69,117,14,25,0,28,14,44,2,7,5,48,8,20,18,1,6,0,4,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/2021,343,2,10,194,35,179,11,129,62,14,64,97,8,30,2,23,12,37,2,1,4,44,6,14,12,2,3,2,2,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
05/10/2021,654,2,9,228,31,230,12,121,60,11,102,114,4,38,1,26,0,36,1,1,9,49,7,15,13,2,4,0,1,7,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/11/2021,629,0,17,219,48,188,9,113,64,16,97,115,7,36,3,30,3,41,1,3,4,48,20,29,11,2,5,0,5,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/12/2021,594,2,17,220,31,203,13,148,49,11,95,147,9,24,6,31,9,37,2,5,13,46,36,28,17,1,4,0,5,7,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2021,516,0,24,253,37,190,11,134,57,16,104,126,9,22,4,34,3,37,1,1,8,47,23,26,15,5,7,0,3,10,1,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
05/14/2021,486,1,13,226,54,197,22,132,65,15,99,135,7,34,2,34,13,34,2,4,11,42,11,27,8,4,2,0,1,5,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/15/2021,292,2,20,244,38,202,12,159,92,21,90,142,13,36,1,30,14,51,5,3,3,41,9,35,25,3,6,0,4,7,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/16/2021,279,1,10,232,41,198,7,185,80,17,75,111,8,27,1,30,7,47,1,2,6,46,5,23,14,0,8,0,2,3,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/17/2021,453,2,18,251,45,229,12,134,72,23,95,129,3,39,1,38,7,27,2,0,14,42,2,23,5,1,7,1,1,5,0,2,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
05/18/2021,415,2,16,257,36,201,24,120,74,17,89,136,11,28,1,37,5,52,5,3,7,45,15,31,13,2,7,0,5,4,0,3,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/19/2021,377,2,17,253,50,207,18,138,75,13,104,121,16,44,4,25,6,68,4,1,4,46,21,31,16,2,3,0,1,5,1,3,0,1,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/20/2021,395,0,28,232,41,224,17,155,62,21,88,146,5,31,0,36,10,47,3,4,8,52,18,20,14,1,5,0,2,5,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/21/2021,349,3,27,240,40,221,15,146,54,19,100,133,5,44,4,26,8,62,2,5,9,30,16,24,12,3,6,0,3,3,1,3,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/22/2021,233,0,14,170,43,210,11,174,97,20,83,132,8,31,2,32,13,48,1,2,2,37,11,50,19,2,1,0,3,5,0,3,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/23/2021,187,0,10,203,53,201,19,176,92,20,85,137,10,25,8,23,8,43,1,5,3,52,4,29,6,2,5,0,1,2,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/24/2021,355,1,9,270,49,206,18,143,68,22,113,135,1,32,1,29,5,38,2,3,6,55,2,28,8,1,5,0,4,7,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/25/2021,305,1,22,248,49,244,18,137,47,21,97,116,6,28,1,27,3,45,0,1,8,60,23,31,21,4,4,1,6,4,0,3,2,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
05/26/2021,248,0,17,251,46,210,12,131,56,14,99,121,4,31,2,39,4,30,0,8,4,36,19,22,13,2,4,0,1,10,2,2,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
05/27/2021,257,0,11,239,35,221,16,141,85,15,89,117,8,34,2,33,3,43,0,1,5,50,15,40,12,2,4,0,2,2,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/28/2021,210,4,13,217,40,187,7,119,57,17,100,129,9,37,1,21,10,38,0,1,12,55,12,24,7,3,8,0,4,5,1,0,2,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/29/2021,126,1,8,195,19,147,18,104,38,11,79,118,5,23,2,32,11,36,0,2,6,45,9,13,7,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/30/2021,120,2,8,177,25,148,8,100,58,10,69,100,0,27,2,24,19,28,0,1,5,41,4,27,13,1,0,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/31/2021,118,1,12,210,33,198,12,122,73,11,83,103,4,32,5,28,13,39,0,1,4,44,1,29,6,2,6,1,2,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2021,288,0,10,274,32,239,21,139,56,23,107,175,21,29,7,26,11,54,3,5,10,66,22,11,13,6,4,1,4,9,3,0,2,0,4,0,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/02/2021,242,1,22,231,35,237,12,111,46,17,102,159,18,23,3,35,4,41,3,3,5,47,27,31,32,3,5,1,5,2,0,2,3,0,1,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2021,206,1,11,218,36,207,12,127,55,15,106,144,5,36,1,23,1,32,1,2,3,48,66,18,19,4,0,1,2,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/04/2021,224,0,14,248,39,195,15,139,56,12,102,137,8,30,3,34,8,46,2,1,10,38,17,17,14,5,1,0,5,6,1,4,0,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06/05/2021,142,2,17,179,46,217,23,148,98,22,91,145,13,40,6,20,10,44,3,0,2,45,16,27,16,5,1,1,0,2,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
06/06/2021,130,2,11,210,33,237,15,184,93,20,74,144,17,17,2,31,15,62,1,7,1,39,2,35,8,6,6,2,2,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/07/2021,219,3,11,210,33,244,12,139,76,23,106,126,5,35,4,30,4,41,0,1,3,46,9,39,14,3,4,1,1,8,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2021,176,1,12,232,29,194,17,102,49,9,108,123,19,34,3,24,6,40,0,6,9,68,20,35,16,2,3,0,4,7,1,5,1,0,1,0,1,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/09/2021,211,0,13,236,40,217,15,129,53,8,111,128,15,41,2,33,8,38,1,3,9,37,36,28,21,5,4,1,4,4,4,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/10/2021,155,1,16,239,29,227,18,155,72,18,97,148,17,31,1,32,5,40,0,3,13,47,42,28,20,3,12,1,4,2,2,3,0,0,2,0,1,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
06/11/2021,189,4,13,237,33,239,15,122,71,14,108,122,9,36,1,25,5,49,2,3,6,54,13,28,21,4,9,0,2,5,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/12/2021,121,2,18,213,40,210,15,131,57,17,88,132,6,29,5,30,12,32,1,2,4,30,12,25,12,4,6,0,1,3,1,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
06/13/2021,113,0,7,213,28,200,25,189,75,11,94,126,3,25,2,32,15,33,3,2,1,40,5,27,13,1,9,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
06/14/2021,180,2,5,248,34,214,15,118,70,16,100,135,1,36,3,41,4,43,1,2,10,49,6,17,7,7,4,1,6,5,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/15/2021,179,0,20,240,28,190,17,132,61,16,98,128,9,30,3,30,4,46,3,5,15,39,20,20,18,5,12,0,3,4,0,1,0,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/16/2021,175,3,20,242,46,195,13,120,55,12,123,119,10,43,1,29,5,32,3,6,6,35,22,25,12,4,7,2,4,5,1,2,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2021,187,1,22,225,42,222,13,144,62,13,100,130,5,26,3,25,5,39,1,2,4,50,59,24,18,4,3,0,5,4,1,2,0,0,1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/18/2021,158,0,15,244,38,216,15,152,57,10,103,139,10,35,4,33,7,38,0,2,7,40,18,34,12,3,7,0,5,6,1,2,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/19/2021,107,2,19,210,44,176,17,125,84,11,97,109,14,27,0,33,11,42,4,2,4,35,4,19,11,4,4,0,2,6,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/20/2021,97,0,15,191,35,199,23,188,98,11,79,135,1,23,3,17,11,50,2,5,4,54,4,26,11,3,5,1,2,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/21/2021,169,2,14,244,45,279,10,163,88,19,131,99,4,28,2,25,6,40,3,3,4,52,14,35,9,3,3,0,1,6,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/22/2021,171,2,13,236,41,204,16,122,49,17,97,129,5,25,4,33,3,36,0,4,10,44,13,17,8,10,7,1,3,14,1,1,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/23/2021,187,2,15,229,37,231,15,128,68,18,112,110,10,23,7,25,2,44,1,3,6,55,39,23,17,3,7,1,7,4,1,2,0,0,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/24/2021,175,0,17,245,40,222,17,123,72,16,107,133,7,20,1,30,2,29,3,2,5,44,33,25,13,3,3,0,3,2,1,3,0,0,1,0,2,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
06/25/2021,181,1,16,242,37,228,13,146,74,16,104,140,7,39,9,33,7,38,1,4,7,48,18,25,18,1,7,1,4,5,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2021,118,0,15,237,41,217,14,183,75,17,92,155,1,31,2,25,16,47,1,5,7,50,8,35,8,3,5,0,3,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/27/2021,109,1,13,187,43,190,17,180,82,17,89,123,5,36,5,36,8,40,1,2,4,43,4,21,9,1,3,0,3,3,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
